min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.2,5,8,0,122,3,8
0.2,5,8,1,186,3,8
0.2,5,8,2,372,4,11
0.2,5,8,3,529,5,13
0.2,5,9,0,68,3,7
0.2,5,9,1,112,3,7
0.2,5,9,2,201,3,8
0.2,5,9,3,282,4,10
0.2,5,10,0,5,2,3
0.2,5,10,1,5,2,3
0.2,5,10,2,17,2,5
0.2,5,10,3,20,2,5
0.3,1,2,0,5000,0,0
0.3,1,2,1,5000,0,0
0.3,1,2,2,5000,0,0
0.3,1,2,3,5000,0,0
0.3,1,3,0,5000,0,0
0.3,1,3,1,5000,0,0
0.3,1,3,2,5000,0,0
0.3,1,3,3,5000,0,0
0.3,1,4,0,2039,6,14
0.3,1,4,1,5000,6,14
0.3,1,4,2,5000,0,0
0.3,1,4,3,5000,0,0
0.3,1,5,0,707,6,14
0.3,1,5,1,1145,6,15
0.3,1,5,2,1808,6,16
0.3,1,5,3,3200,6,16
0.3,1,6,0,75,2,6
0.3,1,6,1,112,2,6
0.3,1,6,2,186,2,6
0.3,1,6,3,287,2,6
0.3,1,7,0,38,1,4
0.3,1,7,1,55,1,4
0.3,1,7,2,103,1,4
0.3,1,7,3,122,1,4
0.3,1,8,0,14,1,4
0.3,1,8,1,27,1,4
0.3,1,8,2,39,1,4
0.3,1,8,3,48,1,4
0.3,1,9,0,10,0,3
0.3,1,9,1,13,0,3
0.3,1,9,2,25,1,4
0.3,1,9,3,33,1,4
0.3,1,10,0,9,0,3
0.3,1,10,1,12,0,3
0.3,1,10,2,23,1,4
0.3,1,10,3,30,1,4
0.3,2,2,0,5000,0,0
0.3,2,2,1,5000,0,0
0.3,2,2,2,5000,0,0
0.3,2,2,3,5000,0,0
0.3,2,3,0,5000,0,0
0.3,2,3,1,5000,0,0
0.3,2,3,2,5000,0,0
0.3,2,3,3,5000,0,0
0.3,2,4,0,3026,7,19
0.3,2,4,1,3433,7,19
0.3,2,4,2,4154,7,19
0.3,2,4,3,5000,6,13
0.3,2,5,0,2387,6,18
0.3,2,5,1,2477,6,18
0.3,2,5,2,2699,6,18
0.3,2,5,3,3470,6,18
0.3,2,6,0,2105,6,17
0.3,2,6,1,2197,6,17
0.3,2,6,2,2327,6,17
0.3,2,6,3,2848,6,17
0.3,2,7,0,95,3,10
0.3,2,7,1,152,3,10
0.3,2,7,2,276,3,10
0.3,2,7,3,687,4,12
0.3,2,8,0,48,2,8
0.3,2,8,1,99,2,8
0.3,2,8,2,230,2,8
0.3,2,8,3,612,3,10
0.3,2,9,0,21,1,5
0.3,2,9,1,49,1,5
0.3,2,9,2,126,1,5
