min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.3,2,6,3,5000,0,83
0.3,2,7,0,1104,4,39
0.3,2,7,1,1375,4,43
0.3,2,7,2,4725,7,125
0.3,2,7,3,5000,0,117
0.3,2,8,0,357,1,9
0.3,2,8,1,498,1,12
0.3,2,8,2,2093,4,73
0.3,2,8,3,3842,4,104
0.3,2,9,0,120,1,7
0.3,2,9,1,210,1,9
0.3,2,9,2,1076,2,52
0.3,2,9,3,1803,2,72
0.3,2,10,0,78,1,6
0.3,2,10,1,145,1,8
0.3,2,10,2,726,1,34
0.3,2,10,3,1218,1,47
0.3,3,2,0,5000,0,1
0.3,3,2,1,5000,0,0
0.3,3,2,2,5000,0,0
0.3,3,2,3,5000,0,0
0.3,3,3,0,5000,0,2
0.3,3,3,1,5000,0,2
0.3,3,3,2,5000,0,2
0.3,3,3,3,5000,0,2
0.3,3,4,0,5000,0,51
0.3,3,4,1,5000,0,41
0.3,3,4,2,5000,0,31
0.3,3,4,3,5000,0,20
0.3,3,5,0,5000,0,61
0.3,3,5,1,5000,0,65
0.3,3,5,2,5000,0,62
0.3,3,5,3,5000,0,36
0.3,3,6,0,4759,3,68
0.3,3,6,1,5000,0,64
0.3,3,6,2,5000,0,82
0.3,3,6,3,5000,0,60
0.3,3,7,0,4070,3,54
0.3,3,7,1,4643,3,61
0.3,3,7,2,5000,1,84
0.3,3,7,3,5000,0,70
0.3,3,8,0,1994,1,39
0.3,3,8,1,2300,1,42
0.3,3,8,2,4043,4,95
0.3,3,8,3,5000,0,104
0.3,3,9,0,1080,1,26
0.3,3,9,1,1259,1,27
0.3,3,9,2,2650,2,65
0.3,3,9,3,3632,3,84
0.3,3,10,0,269,1,5
0.3,3,10,1,309,1,5
0.3,3,10,2,839,2,23
0.3,3,10,3,1211,3,33
0.3,4,2,0,5000,0,0
0.3,4,2,1,5000,0,0
0.3,4,2,2,5000,0,0
0.3,4,2,3,5000,0,0
0.3,4,3,0,5000,0,1
0.3,4,3,1,5000,0,1
0.3,4,3,2,5000,0,1
0.3,4,3,3,5000,0,1
0.3,4,4,0,5000,0,30
0.3,4,4,1,5000,0,24
0.3,4,4,2,5000,0,11
0.3,4,4,3,5000,0,1
0.3,4,5,0,5000,1,108
0.3,4,5,1,5000,0,88
0.3,4,5,2,5000,0,63
0.3,4,5,3,5000,0,44
0.3,4,6,0,1606,6,73
0.3,4,6,1,2200,6,81
0.3,4,6,2,5000,0,113
0.3,4,6,3,5000,0,94
0.3,4,7,0,887,5,50
0.3,4,7,1,1203,6,54
0.3,4,7,2,4854,10,131
0.3,4,7,3,5000,0,117
0.3,4,8,0,308,2,14
0.3,4,8,1,491,2,16
0.3,4,8,2,2371,7,80
0.3,4,8,3,4156,7,112
0.3,4,9,0,157,2,9
0.3,4,9,1,279,2,10
0.3,4,9,2,1318,4,54
0.3,4,9,3,2193,4,74
0.3,4,10,0,79,2,4
0.3,4,10,1,114,2,5
0.3,4,10,2,580,3,26
0.3,4,10,3,923,3,37
0.3,5,2,0,5000,0,0
0.3,5,2,1,5000,0,0
0.3,5,2,2,5000,0,0
0.3,5,2,3,5000,0,0
0.3,5,3,0,5000,0,0
0.3,5,3,1,5000,0,0
0.3,5,3,2,5000,0,0
0.3,5,3,3,5000,0,0
0.3,5,4,0,5000,0,1
0.3,5,4,1,5000,0,1
0.3,5,4,2,5000,0,0
0.3,5,4,3,5000,0,0
0.3,5,5,0,5000,0,16
0.3,5,5,1,5000,0,11
0.3,5,5,2,5000,0,6
0.3,5,5,3,5000,0,1
0.3,5,6,0,3730,5,81
0.3,5,6,1,4342,6,89
0.3,5,6,2,5000,0,82
0.3,5,6,3,5000,0,81
0.3,5,7,0,1681,5,47
0.3,5,7,1,2061,6,52
0.3,5,7,2,5000,2,116
0.3,5,7,3,5000,0,99
0.3,5,8,0,601,3,19
0.3,5,8,1,769,3,20
0.3,5,8,2,2371,7,58
0.3,5,8,3,3852,7,82
0.3,5,9,0,429,2,10
0.3,5,9,1,500,2,11
0.3,5,9,2,1284,5,37
0.3,5,9,3,2230,5,57
0.3,5,10,0,216,1,6
0.3,5,10,1,255,1,7
0.3,5,10,2,499,3,14
0.3,5,10,3,-1,3,14
0.4,1,2,0,5000,0,1
0.4,1,2,1,5000,0,0
0.4,1,2,2,5000,0,0
0.4,1,2,3,5000,0,0
0.4,1,3,0,5000,0,118
0.4,1,3,1,5000,0,117
0.4,1,3,2,5000,0,117
0.4,1,3,3,5000,0,114
0.4,1,4,0,5000,0,118
0.4,1,4,1,5000,0,117
0.4,1,4,2,5000,0,117
0.4,1,4,3,5000,0,114
0.4,1,5,0,3529,4,109
0.4,1,5,1,3672,4,111
0.4,1,5,2,4032,4,120
0.4,1,5,3,4779,4,152
0.4,1,6,0,1888,2,82
0.4,1,6,1,2477,3,87
0.4,1,6,2,3112,4,106
0.4,1,6,3,4516,4,150
0.4,1,7,0,1131,1,50
0.4,1,7,1,1489,2,54
0.4,1,7,2,1867,3,68
0.4,1,7,3,2743,3,94
0.4,1,8,0,683,1,31
0.4,1,8,1,924,1,33
0.4,1,8,2,1431,2,54
0.4,1,8,3,2143,3,77
0.4,1,9,0,358,0,23
0.4,1,9,1,504,0,26
0.4,1,9,2,728,1,42
0.4,1,9,3,1007,2,50
0.4,1,10,0,358,0,23
0.4,1,10,1,484,0,25
0.4,1,10,2,699,1,40
0.4,1,10,3,962,2,48
0.4,2,2,0,5000,0,0
0.4,2,2,1,5000,0,0
0.4,2,2,2,5000,0,0
0.4,2,2,3,5000,0,0
0.4,2,3,0,5000,0,0
0.4,2,3,1,5000,0,0
0.4,2,3,2,5000,0,0
0.4,2,3,3,5000,0,0
0.4,2,4,0,5000,0,1
0.4,2,4,1,5000,0,1
0.4,2,4,2,5000,0,1
0.4,2,4,3,5000,0,1
0.4,2,5,0,5000,0,20
0.4,2,5,1,5000,0,21
0.4,2,5,2,5000,0,13
0.4,2,5,3,5000,0,9
0.4,2,6,0,5000,0,68
0.4,2,6,1,5000,0,60
0.4,2,6,2,5000,0,51
0.4,2,6,3,5000,0,38
0.4,2,7,0,2893,1,57
0.4,2,7,1,4460,5,86
0.4,2,7,2,5000,0,89
0.4,2,7,3,5000,0,70
0.4,2,8,0,1379,1,39
0.4,2,8,1,2327,2,52
0.4,2,8,2,4212,3,82
0.4,2,8,3,5000,0,87
0.4,2,9,0,755,0,38
0.4,2,9,1,977,0,41
0.4,2,9,2,1500,1,61
0.4,2,9,3,2289,2,74
0.4,2,10,0,383,0,12
0.4,2,10,1,468,0,12
0.4,2,10,2,790,0,19
0.4,2,10,3,1353,1,29
0.4,3,2,0,5000,0,0
0.4,3,2,1,5000,0,0
0.4,3,2,2,5000,0,0
0.4,3,2,3,5000,0,0
0.4,3,3,0,5000,0,0
0.4,3,3,1,5000,0,0
0.4,3,3,2,5000,0,0
0.4,3,3,3,5000,0,0
0.4,3,4,0,5000,0,0
0.4,3,4,1,5000,0,0
