min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.4,1,8,2,1335,3,19
0.4,1,8,3,2599,3,19
0.4,1,9,0,272,2,13
0.4,1,9,1,274,2,13
0.4,1,9,2,285,2,13
0.4,1,9,3,290,2,13
0.4,1,10,0,203,2,9
0.4,1,10,1,203,2,9
0.4,1,10,2,203,2,9
0.4,1,10,3,203,2,9
0.4,2,2,0,5000,0,0
0.4,2,2,1,5000,0,0
0.4,2,2,2,5000,0,0
0.4,2,2,3,5000,0,0
0.4,2,3,0,5000,0,4
0.4,2,3,1,5000,0,0
0.4,2,3,2,5000,0,0
0.4,2,3,3,5000,0,0
0.4,2,4,0,5000,3,26
0.4,2,4,1,5000,0,13
0.4,2,4,2,5000,0,12
0.4,2,4,3,5000,0,4
0.4,2,5,0,5000,5,31
0.4,2,5,1,5000,0,12
0.4,2,5,2,5000,0,12
0.4,2,5,3,5000,0,4
0.4,2,6,0,1681,6,31
0.4,2,6,1,2520,6,31
0.4,2,6,2,2708,6,31
0.4,2,6,3,4856,6,31
0.4,2,7,0,899,4,20
0.4,2,7,1,1213,4,20
0.4,2,7,2,1461,4,20
0.4,2,7,3,2886,4,20
0.4,2,8,0,899,4,20
0.4,2,8,1,1168,4,20
0.4,2,8,2,1336,4,20
0.4,2,8,3,2600,4,20
0.4,2,9,0,113,3,8
0.4,2,9,1,114,3,8
0.4,2,9,2,119,3,8
0.4,2,9,3,119,3,8
0.4,2,10,0,81,2,6
0.4,2,10,1,81,2,6
0.4,2,10,2,81,2,6
0.4,2,10,3,81,2,6
0.4,3,2,0,5000,0,0
0.4,3,2,1,5000,0,0
0.4,3,2,2,5000,0,0
0.4,3,2,3,5000,0,0
0.4,3,3,0,5000,0,0
0.4,3,3,1,5000,0,0
0.4,3,3,2,5000,0,0
0.4,3,3,3,5000,0,0
0.4,3,4,0,5000,0,0
0.4,3,4,1,5000,0,0
0.4,3,4,2,5000,0,0
0.4,3,4,3,5000,0,0
0.4,3,5,0,5000,0,4
0.4,3,5,1,5000,0,2
0.4,3,5,2,5000,0,2
0.4,3,5,3,5000,0,0
0.4,3,6,0,4575,6,16
0.4,3,6,1,5000,0,10
0.4,3,6,2,5000,0,10
0.4,3,6,3,5000,0,8
0.4,3,7,0,1932,5,13
0.4,3,7,1,3481,5,17
0.4,3,7,2,3537,5,17
0.4,3,7,3,4555,5,18
0.4,3,8,0,350,4,11
0.4,3,8,1,562,4,15
0.4,3,8,2,630,4,15
0.4,3,8,3,922,4,16
0.4,3,9,0,167,3,8
0.4,3,9,1,257,3,10
0.4,3,9,2,272,3,10
0.4,3,9,3,377,3,12
0.4,3,10,0,109,3,7
0.4,3,10,1,162,3,9
0.4,3,10,2,169,3,9
0.4,3,10,3,230,3,10
0.4,4,2,0,5000,0,0
0.4,4,2,1,5000,0,0
0.4,4,2,2,5000,0,0
0.4,4,2,3,5000,0,0
0.4,4,3,0,5000,0,0
0.4,4,3,1,5000,0,0
0.4,4,3,2,5000,0,0
0.4,4,3,3,5000,0,0
0.4,4,4,0,5000,0,0
0.4,4,4,1,5000,0,0
0.4,4,4,2,5000,0,0
0.4,4,4,3,5000,0,0
0.4,4,5,0,5000,0,2
0.4,4,5,1,5000,0,0
0.4,4,5,2,5000,0,0
0.4,4,5,3,5000,0,0
0.4,4,6,0,5000,0,11
0.4,4,6,1,5000,0,2
0.4,4,6,2,5000,0,0
0.4,4,6,3,5000,0,0
0.4,4,7,0,2545,5,13
0.4,4,7,1,4290,5,16
0.4,4,7,2,4329,5,16
0.4,4,7,3,5000,4,15
0.4,4,8,0,1125,4,11
0.4,4,8,1,1990,4,14
0.4,4,8,2,2025,4,14
0.4,4,8,3,2616,4,14
0.4,4,9,0,234,4,10
0.4,4,9,1,358,4,13
0.4,4,9,2,397,4,13
0.4,4,9,3,574,4,14
0.4,4,10,0,109,3,7
0.4,4,10,1,162,3,9
0.4,4,10,2,169,3,9
0.4,4,10,3,230,3,10
0.4,5,2,0,5000,0,0
0.4,5,2,1,5000,0,0
0.4,5,2,2,5000,0,0
0.4,5,2,3,5000,0,0
0.4,5,3,0,5000,0,0
0.4,5,3,1,5000,0,0
0.4,5,3,2,5000,0,0
0.4,5,3,3,5000,0,0
0.4,5,4,0,5000,0,0
0.4,5,4,1,5000,0,0
0.4,5,4,2,5000,0,0
0.4,5,4,3,5000,0,0
0.4,5,5,0,5000,0,2
0.4,5,5,1,5000,0,0
0.4,5,5,2,5000,0,0
0.4,5,5,3,5000,0,0
0.4,5,6,0,5000,0,11
0.4,5,6,1,5000,0,2
0.4,5,6,2,5000,0,0
0.4,5,6,3,5000,0,0
0.4,5,7,0,2545,5,13
0.4,5,7,1,4290,5,16
0.4,5,7,2,4329,5,16
0.4,5,7,3,5000,4,15
0.4,5,8,0,1125,4,11
0.4,5,8,1,1990,4,14
0.4,5,8,2,2025,4,14
0.4,5,8,3,2616,4,14
0.4,5,9,0,234,4,10
0.4,5,9,1,358,4,13
0.4,5,9,2,397,4,13
0.4,5,9,3,574,4,14
0.4,5,10,0,109,3,7
0.4,5,10,1,162,3,9
0.4,5,10,2,169,3,9
0.4,5,10,3,230,3,10
